Graph,CPU,FPGA,Config_1,Config_2,Config_3,Config_4,FPGA_OPT1,FPGA_OPT2,Fastest
ca-coauthors-dblp,161.96,3190.33,92.7937,63.309,84.8496,96.0686,884.498,109.221,FPGA_RESULTS_C2
road-roadNet-CA,89.3786,620.297,46.8891,30.8403,36.3133,50.0512,245.928,93.2448,FPGA_RESULTS_C2
socfb-Duke14,8.05068,100.013,4.45467,4.59671,4.87211,4.26321,21.4056,3.00447,FPGA_RESULTS_COPT_2
ca-hollywood-2009,549.646,13191,283.279,180.242,292.951,285.206,3324.89,367.057,FPGA_RESULTS_C2
eco-foodweb-baydry,0.513792,1.07002,1.31812,1.28651,0.533816,1.05905,1.07675,1.03716,CPU_RESULTS
road-road-usa,894.408,7349.39,504.381,243.937,373.989,510.371,2754.81,1117.7,FPGA_RESULTS_C2
socfb-Georgetown15,13.834,84.1758,3.76261,3.50595,3.33927,4.51753,18.0615,2.99265,FPGA_RESULTS_COPT_2
cit-DBLP,1.99413,11.0884,1.82214,1.70224,1.75025,2.05404,3.99102,1.88229,FPGA_RESULTS_C2
email-enron-large,4.59242,40.4799,9.54773,9.26055,8.48293,9.58402,13.5368,3.57399,FPGA_RESULTS_COPT_2
rt-retweet-crawl,78.2561,1166.89,49.2555,35.0857,46.1362,50.9792,238.482,83.8255,FPGA_RESULTS_C2
socfb-uci-uni,3642.09,34517.9,1966.23,1192.96,1634.13,1974.5,9356.33,3553.51,FPGA_RESULTS_C2
road-asia-osm,421.453,3071.98,268.728,122.563,202.982,259.48,1275.47,557.875,FPGA_RESULTS_C2
socfb-A-anon,497.731,10770.6,316.835,169.638,214.714,315.522,2232.73,534.204,FPGA_RESULTS_C2
web-BerkStan,104.414,1571.85,63.5679,51.8593,72.657,54.8799,441.308,73.9867,FPGA_RESULTS_C2
web-Stanford,53.8135,1130,37.5937,25.4833,27.9191,33.5835,221.661,50.5108,FPGA_RESULTS_C2
web-NotreDame,28.3372,33.3071,14.0496,11.6039,18.6479,13.8576,16.3728,20.2272,FPGA_RESULTS_C2
web-wikipedia2009,145.236,2098.99,87.2175,59.4818,67.5553,85.8909,456.174,149.133,FPGA_RESULTS_C2
web-italycnr-2000,42.583,72.268,24.2534,18.0387,27.2202,23.0795,26.3541,27.6797,FPGA_RESULTS_C2
web-it-2004,86.705,1406.49,42.1846,36.3467,52.9001,44.3058,337.124,43.4656,FPGA_RESULTS_C2
web-google,1.2486,2.66194,1.50477,1.33976,1.07714,1.63165,1.23129,1.30252,FPGA_RESULTS_C3
cit-patent,419.248,7635.14,472.83,404.362,456.988,480.348,1589.29,382.379,FPGA_RESULTS_COPT_2
